,name,DepositsAndShort-termFinancing,CAR,InterestIncome,NIM
0,SBERBANK OF RUSSIA 2013,456005646.0,13.4,45176784.0,5.97
1,SBERBANK OF RUSSIA 2012,403464273.0,13.7,38103295.0,6.44
2,SBERBANK OF RUSSIA 2020,370821539.0,14.7,32477527.0,5.43
3,SBERBANK OF RUSSIA 2019,361637148.0,14.8,38704030.0,5.41
4,SBERBANK OF RUSSIA 2017,368389338.0,13.0,37003343.0,5.81
5,SBERBANK OF RUSSIA 2018,316935512.0,12.4,34902535.0,6.0
6,SBERBANK OF RUSSIA 2014,359626308.0,12.1,32668900.0,5.41
7,SBERBANK OF RUSSIA 2016,332481532.0,12.0,39550321.0,5.87
8,SBERBANK OF RUSSIA 2015,299595104.0,12.6,31277656.0,4.31
9,VTB BANK (PUBLIC JOINT-STOCK COMPANY) 2013,189451621.0,14.7,20969043.0,4.52
10,VTB BANK (PUBLIC JOINT-STOCK COMPANY) 2019,196702411.0,11.2,17882037.0,3.4
11,VTB BANK (PUBLIC JOINT-STOCK COMPANY) 2020,196760239.0,11.8,14291574.0,3.73
12,VTB BANK (PUBLIC JOINT-STOCK COMPANY) 2012,173122564.0,14.7,18296035.0,3.95
13,VTB BANK (PUBLIC JOINT-STOCK COMPANY) 2017,178942083.0,14.8,18336742.0,4.22
14,VTB BANK (PUBLIC JOINT-STOCK COMPANY) 2014,162637052.0,12.0,15003982.0,3.79
15,VTB BANK (PUBLIC JOINT-STOCK COMPANY) 2018,170613181.0,11.4,14883994.0,3.86
16,VTB BANK (PUBLIC JOINT-STOCK COMPANY) 2016,160809397.0,14.6,18263379.0,3.64
17,VTB BANK (PUBLIC JOINT-STOCK COMPANY) 2015,130664753.0,14.3,15105094.0,2.57
18,GAZPROMBANK OPEN JOINT-STOCK COMPANY 2013,82221319.0,13.2,6513939.0,3.07
19,GAZPROMBANK OPEN JOINT-STOCK COMPANY 2019,86759784.0,13.1,6614238.0,2.63
20,GAZPROMBANK OPEN JOINT-STOCK COMPANY 2020,83534724.0,12.7,5514290.0,2.8
21,GAZPROMBANK OPEN JOINT-STOCK COMPANY 2017,73603944.0,13.1,6342599.0,3.04
22,GAZPROMBANK OPEN JOINT-STOCK COMPANY 2018,75249473.0,12.4,5376116.0,2.85
23,GAZPROMBANK OPEN JOINT-STOCK COMPANY 2012,66992690.0,13.9,5785327.0,2.78
24,GAZPROMBANK OPEN JOINT-STOCK COMPANY 2014,61380187.0,10.7,4792582.0,2.67
25,GAZPROMBANK OPEN JOINT-STOCK COMPANY 2016,61266827.0,13.5,6266327.0,2.83
26,GAZPROMBANK OPEN JOINT-STOCK COMPANY 2015,51262920.0,14.2,5089617.0,2.25
27,JOINT STOCK COMPANY ALFA-BANK 2020,48283230.0,13.03,3742513.0,4.27
28,JOINT STOCK COMPANY ALFA-BANK 2019,45989973.0,12.35,4343278.0,4.53
29,PUBLIC JOINT-STOCK COMPANY 'BANK OTKRITIE FINANCIAL CORPORATION' 2019,32080440.0,12.8,2327718.0,2.63
30,RUSSIAN AGRICULTURAL BANK OJSC 2019,42898911.0,15.1,4014639.0,2.7
31,RUSSIAN AGRICULTURAL BANK OJSC 2020,42185673.0,14.4,3171178.0,2.49
32,RUSSIAN AGRICULTURAL BANK OJSC 2013,29319537.0,18.0,4662228.0,4.6
33,RUSSIAN AGRICULTURAL BANK OJSC 2017,41567581.0,10.9,4085576.0,2.81
